StationCode,longitude,latitude,HUC_12,h12_area_sqkm,ID,LATITUDE,LONGITUDE,comid,to_gage,geometry,SiteStatus
111WER047,-123.63139,39.72944,180101060103,153.883259792,T11475560,39.7295997,-123.6439073,8287590,DS,"c(-311027.107476073, 196357.35576062)",Reference
202PES070,-122.36999,37.25164,180500060103,78.7145103145,T11162500,37.26077707,-122.3288602,17688323,DS,"c(-209901.102714664, -82387.1334032249)",Intermediate
202PES080,-122.3698,37.252,180500060103,78.7145103145,T11162500,37.26077707,-122.3288602,17688323,DS,"c(-209883.278469672, -82347.5488244896)",NA
202PES095,-122.33777,37.25649,180500060103,78.7145103145,T11162500,37.26077707,-122.3288602,17688129,DS,"c(-207034.7884567, -81919.0181461405)",Intermediate
202PES100,-122.32909,37.260980000000004,180500060103,78.7145103145,T11162500,37.26077707,-122.3288602,17688105,DS,"c(-206253.975580763, -81438.977753757)",Intermediate
304BRA,-122.01726,36.98066,180600150203,79.02929429070001,T11160500,37.04439313,-122.0724641,17684084,DS,"c(-179307.108949993, -113224.471975172)",Stressed
304BRA,-122.01726,36.98066,180600150203,79.02929429070001,T11161300,37.05050396,-122.0135729,17684084,DS,"c(-179307.108949993, -113224.471975172)",Stressed
304SLB,-122.0709615,37.0443104,180600150203,79.02929429070001,T11160500,37.04439313,-122.0724641,17682474,DS,"c(-183925.164385926, -106048.229578608)",NA
304SLB,-122.0709615,37.0443104,180600150203,79.02929429070001,T11161300,37.05050396,-122.0135729,17682474,DS,"c(-183925.164385926, -106048.229578608)",NA
305CLCSBR,-120.75918,36.3622,180600020501,141.002847175,T11154700,36.36468256,-120.7562868,17673639,DS,"c(-68035.6015881443, -183596.566503828)",Intermediate
309CAW009,-121.42854,36.25628,180600051307,90.9726497411,T11151870,36.23746164,-121.4816027,8203299,DS,"c(-128195.654237281, -194673.581061177)",Intermediate
309LOR,-121.0683,36.26731,180600051004,74.9808613881,T11151300,36.26802087,-121.066303,8205487,DS,"c(-95855.8894453746, -193873.656060152)",NA
309SED056,-121.48697,36.23563,180600051307,90.9726497411,T11151870,36.23746164,-121.4816027,8203373,DS,"c(-133474.666621256, -196887.35393307)",NA
403S01195,-119.2678,34.55903,180701020702,127.50120873899999,T11111500,34.5777657,-119.2578902,17567929,DS,"c(67164.4399929048, -383880.319925108)",NA
403S05291,-119.26305,34.56397,180701020702,127.50120873899999,T11111500,34.5777657,-119.2578902,17567911,DS,"c(67595.8853046837, -383328.685863825)",NA
412LARSCO,-118.2215,34.0827,180701050209,118.155762265,T11098000,34.22222629,-118.1775727,22515822,DS,"c(164124.627778967, -435453.834323629)",NA
412M08638,-118.17119,34.20922,180701050209,118.155762265,T11098000,34.22222629,-118.1775727,22514800,DS,"c(168496.064875442, -421331.992103606)",NA
541OC0010,-121.12167,37.31889,180400020104,132.968554332,T11274500,37.31549247,-121.1252081,2828012,DS,"c(-99261.6827268525, -76948.0256101359)",NA
634CE0146,-119.97722,38.93138,160501010302,105.348824247,T10336770,38.8632405,-119.9582367,8945207,DS,"c(1972.88434146893, 101712.803870432)",Intermediate
634CE0146,-119.97722,38.93138,160501010302,105.348824247,T10336780,38.9199077,-119.9724036,8945207,DS,"c(1972.88434146893, 101712.803870432)",Intermediate
634PS0062,-119.97164,38.87503,160501010302,105.348824247,T10336770,38.8632405,-119.9582367,8944513,DS,"c(2458.01923766942, 95449.7140684314)",NA
634PS0062,-119.97164,38.87503,160501010302,105.348824247,T10336780,38.9199077,-119.9724036,8944513,DS,"c(2458.01923766942, 95449.7140684314)",NA
634TRT004,-119.97048,38.9119,160501010302,105.348824247,T10336770,38.8632405,-119.9582367,8944453,DS,"c(2557.28281851189, 99547.8043318945)",Intermediate
634TRT004,-119.97048,38.9119,160501010302,105.348824247,T10336780,38.9199077,-119.9724036,8944453,DS,"c(2557.28281851189, 99547.8043318945)",Intermediate
634TRT005,-119.97859,38.88352,160501010302,105.348824247,T10336770,38.8632405,-119.9582367,8944501,DS,"c(1855.43542635447, 96393.2143432819)",Intermediate
634TRT005,-119.97859,38.88352,160501010302,105.348824247,T10336780,38.9199077,-119.9724036,8944501,DS,"c(1855.43542635447, 96393.2143432819)",Intermediate
634WRD029,-120.19702,39.14052,160501010403,77.43497339390001,T10336660,39.10740708,-120.1621352,8941685,DS,"c(-17014.7950519883, 124974.772908546)",NA
634WRD029,-120.19702,39.14052,160501010403,77.43497339390001,T10336676,39.1321292,-120.1576913,8941685,DS,"c(-17014.7950519883, 124974.772908546)",NA
636SAG001,-120.22934,39.43709,160501020104,48.8687045229,T10343500,39.43157246,-120.2379793,8933518,DS,"c(-19726.2438641081, 157939.322207446)",Reference
801RB8549,-117.88128,33.65914,180702040103,159.542753697,T11048553,33.65724307,-117.8275553,20357346,DS,"c(196565.899414874, -481772.185620852)",NA
801S01783,-117.27275,34.19018,180702030505,82.9486815716,T11058600,34.1858333,-117.2722222,22555344,DS,"c(251314.8596969, -421454.66957221)",NA
801S19399,-117.76224,33.65551,180702040102,107.80210809100001,T11048200,33.67890959,-117.7142187,20355458,DS,"c(207617.43085912, -481920.825591913)",NA
801SDC178,-117.81066,33.6824,180702040103,159.542753697,T11048553,33.65724307,-117.8275553,20355428,DS,"c(203057.02780151, -479044.941483048)",NA
SMC00766,-117.83739,33.65718,180702040103,159.542753697,T11048553,33.65724307,-117.8275553,20355480,DS,"c(200642.086048334, -481897.51201499)",NA
114AU7778,-123.11811,38.58703,180101100802,98.4810180043,T11467200,38.5065797,-123.0697239,8271487,US,"c(-271256.910749265, 67897.9837477431)",NA
202PES120,-122.30935,37.26695,180500060103,78.7145103145,T11162500,37.26077707,-122.3288602,17688091,US,"c(-204490.072045036, -80818.308043146)",Stressed
202PES160,-122.26368,37.26927,180500060103,78.7145103145,T11162500,37.26077707,-122.3288602,17688085,US,"c(-200440.669618889, -80658.0194526785)",Intermediate
202SGR010,-122.38583,37.32583,180500060203,81.2516226082,T11162570,37.3257762,-122.3866404,17687955,US,"c(-211096.184271156, -74107.5192680499)",Intermediate
202SGR040,-122.31595,37.3112,180500060203,81.2516226082,T11162570,37.3257762,-122.3866404,17687989,US,"c(-204954.233067972, -75886.6423326172)",Stressed
202SGR075,-122.29048,37.31512,180500060203,81.2516226082,T11162570,37.3257762,-122.3866404,17687987,US,"c(-202690.133449847, -75505.7738083596)",Intermediate
204ARH090,-121.75463,37.45116,180500040103,97.7642365113,T11173200,37.46160337,-121.769397,2811037,US,"c(-154997.848390156, -61397.385108836)",NA
304ACSDFx,-121.91361,37.08333,180600150303,110.09835951199999,T11160000,36.9913389,-121.9557933,17683290,US,"c(-169864.983024816, -102005.521514838)",NA
304SCEF,-121.91361,37.08333,180600150303,110.09835951199999,T11160000,36.9913389,-121.9557933,17683290,US,"c(-169864.983024816, -102005.521514838)",NA
304SCEFLx,-121.91361,37.08333,180600150303,110.09835951199999,T11160000,36.9913389,-121.9557933,17683290,US,"c(-169864.983024816, -102005.521514838)",NA
304SCSDFx,-121.91361,37.08333,180600150303,110.09835951199999,T11160000,36.9913389,-121.9557933,17683290,US,"c(-169864.983024816, -102005.521514838)",NA
402M00005,-119.40097,34.51364,180701010101,141.30447511000003,T11114495,34.5027693,-119.3573393,17585758,US,"c(54980.8136186681, -389003.548955633)",NA
631SED038,-119.44978,38.32841,160503020107,45.9973680918,T10295500,38.3607482,-119.4448868,10744580,US,"c(48041.0490908253, 34827.9185944418)",NA
634UTRADC,-120.01776,38.72996,160501010301,71.08718789049999,T10336580,38.79629598,-120.0190718,8943969,US,"c(-1542.31613886027, 79324.6753772013)",NA
636SHCWES,-120.24151,39.43105,160501020104,48.8687045229,T10343500,39.43157246,-120.2379793,8933524,US,"c(-20774.73081081, 157270.732761921)",NA
