gageid,n
09423350,8
09424150,8
09427520,8
09429100,10
09429160,8
09429170,8
09429180,8
09429190,8
09429230,8
09429490,10
09429600,8
09529600,10
09529700,10
09529800,8
09529900,10
09530000,8
10254670,10
10254730,10
10254970,10
10255550,10
10255885,10
10257499,5
10259050,3
10260620,8
10260630,8
10260650,8
10261500,8
10262000,10
10263000,8
10265150,8
10270680,2
10270900,8
10287145,8
10287195,8
10287281,2
10290500,8
10293000,8
10296000,8
10296500,8
103087889,10
10308789,8
10308792,8
10308794,8
10310300,10
103366092,8
10336610,8
10336626,8
10336674,8
10336775,8
10337500,8
10338000,8
10338500,8
10338700,8
10343000,8
10344400,8
10344500,8
10344505,8
10346000,8
11012500,10
11013000,10
11016200,4
11042631,5
11042900,11
11046250,3
11046360,3
11048400,8
11055350,8
11070210,5
11070465,4
11073493,8
11121000,2
11122010,5
11148500,2
11152500,8
11157500,8
11162720,8
11162800,8
11174000,2
11182030,8
11202838,8
11216050,8
11221500,8
11229500,8
11235500,8
11238270,10
11243300,8
11243500,8
11244000,8
11244100,8
11246570,8
11267350,8
11274550,8
11292900,8
11292901,8
11293580,8
11298650,2
11313000,8
11316605,2
11325000,8
11358700,2
11362700,8
11372325,10
11376000,8
11396329,8
11396330,14
11400200,2
11404100,8
11406810,9
11406848,8
11406849,8
11406850,8
11406910,8
11414190,8
11414194,8
11414195,8
11414196,8
11414205,3
11414700,10
11416100,8
11417500,8
11420770,8
11421710,8
11421725,8
11421760,8
11421770,8
11425310,8
11425416,8
11426000,5
11429340,8
11434500,12
11437500,5
11440900,8
11441800,2
11442700,2
