gageid,n,comid
09423350,2,10017314
09424150,2,21439475
09427520,2,9998136
09429100,2,10010646
09429160,2,945030171
09429170,2,10010658
09429180,2,10003808
09429190,2,10003830
09429230,2,10002408
09429490,2,10005008
09429600,2,21412675
09529600,2,21411847
09529700,2,21411963
09529800,2,21412601
09529900,2,21412059
09530000,2,21412135
10254670,2,22599625
10254730,2,22598685
10254970,2,22603541
10255550,2,22599619
10255885,2,22598811
10260620,2,22660237
10260630,2,22660237
10260650,2,22660087
10261500,2,948090919
10262000,2,948090834
10262500,2,22656105
10263000,2,948091323
10265150,2,20273931
10270900,2,20277787
10287145,2,20286396
10287195,2,20286396
10290500,2,8915935
10293000,2,8915857
10296000,2,10744424
10296500,2,946050152
103087885,2,8922761
103087889,2,8922717
10308789,2,8922717
103087891,2,8922743
103087892,2,8922727
10308792,2,8922665
10308794,2,8922665
10310300,2,8922335
103366092,2,8943677
10336610,2,8944439
10336626,2,8943577
10336674,2,8941685
10336775,2,8944479
10337500,2,8934074
10338000,2,8933958
10338500,2,8933876
10338700,2,8933890
10343000,2,8933376
10344400,2,8933494
10344500,2,8933684
10344505,2,8933706
10346000,2,8933532
11012500,2,20326431
11013000,2,20326435
11042900,2,948070502
11048200,2,20355400
11048400,2,20357218
11055350,2,22555914
11073493,2,22556262
11152500,2,8200523
11157500,2,17663791
11162720,2,2804039
11162800,2,2809149
11182030,2,1671927
11202838,2,14930957
11216050,2,22050443
11221500,2,17149774
11229500,2,17119593
11235500,2,17116171
11238270,2,17116227
11243300,2,17116151
11243500,2,17115319
11244000,2,17115319
11244100,2,17115319
11246570,2,17116229
11267350,2,948040318
11274550,2,2828044
11292900,2,343205
11292901,2,343205
11293580,2,346319
11313000,2,1894476
11325000,2,3953371
11362700,2,7951770
11372325,2,2764310
11376000,2,4296241
11396329,2,24689339
11396330,2,948020193
11404100,2,2775536
11406810,2,24689339
11406848,2,7968111
11406849,2,7968111
11406850,2,7968111
11406910,2,1682827
11414190,2,15014869
11414194,2,15014869
11414195,2,15014869
11414196,2,15014869
11414700,2,8063383
11416100,2,8063993
11417500,2,8060893
11420770,2,7981848
11421710,2,15014823
11421725,2,15014871
11421760,2,15014869
11421770,2,15014869
11425310,2,15009507
11425416,2,14996597
11429340,2,14993719
11434500,2,8943685
11440900,2,14986576
