0.001,5,3,0.75,0.19092214065198915
0.003,5,3,0.75,0.18891321419989487
0.005,5,3,0.75,0.1876160875829527
0.001,5,5,0.75,0.17081020450057738
0.003,5,5,0.75,0.16830676306115208
0.005,5,5,0.75,0.17823028228758755
0.001,5,10,0.75,0.1408415603928139
0.003,5,10,0.75,0.14042649004512409
0.005,5,10,0.75,NA
0.001,5,3,0.8,0.18479943592423415
0.003,5,3,0.8,0.18617445469610397
0.005,5,3,0.8,0.17570815737662426
0.001,5,5,0.8,0.1648360378131511
0.003,5,5,0.8,0.16203571087069996
0.005,5,5,0.8,0.15354016973527823
0.001,5,10,0.8,0.1495497174980459
0.003,5,10,0.8,0.14351212189870197
0.005,5,10,0.8,NA
