0.001,5,3,0.75,0.2471186895643164
0.003,5,3,0.75,0.2486732346313023
0.005,5,3,0.75,0.24724194901530466
0.001,5,5,0.75,0.2558543918414197
0.003,5,5,0.75,0.2553225517665028
0.005,5,5,0.75,0.2569294624995981
0.001,5,10,0.75,0.19748078042942707
0.003,5,10,0.75,0.19406787344994603
0.005,5,10,0.75,0.19127519058530432
0.001,5,3,0.8,0.23808664796540502
0.003,5,3,0.8,0.24145588938118606
0.005,5,3,0.8,0.24004711847633617
0.001,5,5,0.8,0.25133319570174156
0.003,5,5,0.8,0.2483866598043104
0.005,5,5,0.8,0.2505159245485967
0.001,5,10,0.8,0.204229414418114
0.003,5,10,0.8,0.19847694699595586
0.005,5,10,0.8,NA
