metric,status_code,status,alteration_type,median_in_iqr,comid
DS_Dur_WS,-1,likely_altered,low,FALSE,7981848
DS_Tim,-1,likely_altered,late,FALSE,7981848
DS_Mag_50,-1,likely_altered,high,FALSE,7981848
DS_Mag_90,-1,likely_altered,high,FALSE,7981848
FA_Mag,-1,likely_altered,high,FALSE,7981848
FA_Tim,-1,likely_altered,early,FALSE,7981848
SP_Dur,1,likely_unaltered,none_found,TRUE,7981848
SP_Mag,-1,likely_altered,high,FALSE,7981848
SP_Tim,-1,likely_altered,late,FALSE,7981848
Wet_BFL_Dur,-1,likely_altered,high,FALSE,7981848
Wet_BFL_Mag_10,-1,likely_altered,low,FALSE,7981848
Wet_BFL_Mag_50,-1,likely_altered,high,FALSE,7981848
Wet_Tim,-1,likely_altered,early,FALSE,7981848
Peak_10,-1,likely_altered,high,FALSE,7981848
Peak_2,-1,likely_altered,high,FALSE,7981848
Peak_5,-1,likely_altered,high,FALSE,7981848
