p10,p25,p50,p75,p90,metric,comid,result_type
8,8,8,8,8,DS_Dur_WS,7981848,observed
346,349.5,355,356.5,358.2,DS_Tim,7981848,observed
31,31,31,31,31,DS_Mag_50,7981848,observed
37,37,37,37,37,DS_Mag_90,7981848,observed
1.6,2,4,5,8,FA_Dur,7981848,observed
191.8888421859262,240.0254953939398,288.99606824745536,320.994108783742,323.2304845277608,FA_Mag,7981848,observed
2.6,6,8,17,19.4,FA_Tim,7981848,observed
0.021771807279003217,0.025862671072736994,0.0365296803652968,0.047473588511324355,0.05925280886944332,SP_ROC,7981848,observed
35,43,46,53.5,68.19999999999999,SP_Dur,7981848,observed
389.6,422.5,467,478.5,491,SP_Mag,7981848,observed
288.79999999999995,300.5,307,309.5,317.4,SP_Tim,7981848,observed
315,315,315,315,315,Wet_BFL_Dur,7981848,observed
0,0,0,0,0,Wet_BFL_Mag_10,7981848,observed
151,151,151,151,151,Wet_BFL_Mag_50,7981848,observed
8,8,8,8,8,Wet_Tim,7981848,observed
219.20000000000002,221,224,227,228.79999999999998,Peak_Tim_10,7981848,observed
210.9,216.75,244.25,262.625,272.9,Peak_Tim_2,7981848,observed
237.5,239.75,245.75,255.125,263.45,Peak_Tim_5,7981848,observed
1.1,1.25,1.5,1.75,1.9,Peak_Dur_10,7981848,observed
1.9,4,5,7.75,17.1,Peak_Dur_2,7981848,observed
2.5,4.75,6.5,7.25,7.7,Peak_Dur_5,7981848,observed
566.4,566.4,566.4,566.4,566.4,Peak_10,7981848,observed
506,506,506,506,506,Peak_2,7981848,observed
536.4,536.4,536.4,536.4,536.4,Peak_5,7981848,observed
1,1,1,1,1,Peak_Fre_10,7981848,observed
1,1,1,2,2.0999999999999996,Peak_Fre_2,7981848,observed
1.3,1.75,2,2.25,2.7,Peak_Fre_5,7981848,observed
